    a,  precision
    1,          1
    2,          2
    3,          3
    4,          3
    5,          4
    6,          5
    7,          6
    8,          7
    9,          8
   10,          8
   11,          9
   12,         10
   13,         11
   14,         12
   15,         12
   16,         13
   17,         14
   18,         15
   19,         16
   20,         17
   21,         17
   22,         18
   23,         19
   24,         20
   25,         21
   26,         21
   27,         22
   28,         23
   29,         24
   30,         25
   31,         25
   32,         26
   33,         27
   34,         28
   35,         29
   36,         29
   37,         30
   38,         31
   39,         32
   40,         33
   41,         33
   42,         34
   43,         35
   44,         36
   45,         37
   46,         37
   47,         38
   48,         39
   49,         40
   50,         41
   51,         41
   52,         42
   53,         43
   54,         44
   55,         45
   56,         45
   57,         46
   58,         47
   59,         48
   60,         49
   61,         49
   62,         50
   63,         51
   64,         52
   65,         53
   66,         53
   67,         54
   68,         55
   69,         56
   70,         57
   71,         57
   72,         58
   73,         59
   74,         60
   75,         61
   76,         62
   77,         62
   78,         63
   79,         64
   80,         65
   81,         66
   82,         66
   83,         67
   84,         68
   85,         69
   86,         70
   87,         70
   88,         71
   89,         72
   90,         73
   91,         74
   92,         74
   93,         75
   94,         76
   95,         77
   96,         78
   97,         78
   98,         79
   99,         80
  100,         81
  101,         82
  102,         82
  103,         83
  104,         84
  105,         85
  106,         86
  107,         86
  108,         87
  109,         88
  110,         89
  111,         90
  112,         90
  113,         91
  114,         92
  115,         93
  116,         94
  117,         94
  118,         95
  119,         96
  120,         97
  121,         98
  122,         98
  123,         99
  124,        100
  125,        101
  126,        102
  127,        102
  128,        103
  129,        104
  130,        105
  131,        106
  132,        106
  133,        107
  134,        108
  135,        109
  136,        110
  137,        110
  138,        111
  139,        112
  140,        113
  141,        114
  142,        114
  143,        115
  144,        116
  145,        117
  146,        118
  147,        118
  148,        119
  149,        120
  150,        121
  151,        122
  152,        122
  153,        123
  154,        124
  155,        125
  156,        126
  157,        126
  158,        127
  159,        128
  160,        129
  161,        130
  162,        130
  163,        131
  164,        132
  165,        133
  166,        134
  167,        134
  168,        135
  169,        136
  170,        137
  171,        138
  172,        138
  173,        139
  174,        140
  175,        141
  176,        142
  177,        142
  178,        143
  179,        144
  180,        145
  181,        145
  182,        146
  183,        147
  184,        148
  185,        149
  186,        149
  187,        150
  188,        151
  189,        152
  190,        153
  191,        153
  192,        154
  193,        155
  194,        156
  195,        157
  196,        157
  197,        158
  198,        159
  199,        160
  200,        161
  201,        161
  202,        162
  203,        163
  204,        164
  205,        165
  206,        165
  207,        166
  208,        167
  209,        168
  210,        169
  211,        169
  212,        170
  213,        171
  214,        172
  215,        173
  216,        173
  217,        174
  218,        175
  219,        176
  220,        177
  221,        177
  222,        178
  223,        179
  224,        180
  225,        181
  226,        181
  227,        182
  228,        183
  229,        184
  230,        185
  231,        185
  232,        186
  233,        187
  234,        188
  235,        189
  236,        189
  237,        190
  238,        191
  239,        192
  240,        193
  241,        193
  242,        194
  243,        195
  244,        196
  245,        197
  246,        197
  247,        198
  248,        199
  249,        200
  250,        201
  251,        201
  252,        202
  253,        203
  254,        204
  255,        205
  256,        205
  257,        206
  258,        207
  259,        208
  260,        209
  261,        209
  262,        210
  263,        211
  264,        212
  265,        213
  266,        213
  267,        214
  268,        215
  269,        216
  270,        217
  271,        217
  272,        218
  273,        219
  274,        220
  275,        221
  276,        221
  277,        222
  278,        223
  279,        224
  280,        225
  281,        225
  282,        226
  283,        227
  284,        228
  285,        229
  286,        229
  287,        230
  288,        231
  289,        232
  290,        233
  291,        233
  292,        234
  293,        235
  294,        236
  295,        237
  296,        237
  297,        238
  298,        239
  299,        240
  300,        241
  301,        241
  302,        242
  303,        243
  304,        244
  305,        245
  306,        245
  307,        246
  308,        247
  309,        248
  310,        249
  311,        249
  312,        250
  313,        251
  314,        252
  315,        253
  316,        253
  317,        254
  318,        255
  319,        256
  320,        257
  321,        257
  322,        258
  323,        259
  324,        260
  325,        261
  326,        261
  327,        262
  328,        263
  329,        264
  330,        265
  331,        265
  332,        266
  333,        267
  334,        268
  335,        269
  336,        269
  337,        270
  338,        271
  339,        272
  340,        273
  341,        273
  342,        274
  343,        275
  344,        276
  345,        277
  346,        277
  347,        278
  348,        279
  349,        280
  350,        281
  351,        281
  352,        282
  353,        283
  354,        284
  355,        285
  356,        285
  357,        286
  358,        287
  359,        288
  360,        289
  361,        289
  362,        290
  363,        291
  364,        292
  365,        293
  366,        293
  367,        294
  368,        295
  369,        296
  370,        297
  371,        297
  372,        298
  373,        299
  374,        300
  375,        301
  376,        301
  377,        302
  378,        303
  379,        304
  380,        304
  381,        305
  382,        306
  383,        307
  384,        308
  385,        308
  386,        309
  387,        310
  388,        311
  389,        312
  390,        312
  391,        313
  392,        314
  393,        315
  394,        316
  395,        316
  396,        317
  397,        318
  398,        319
  399,        320
  400,        320
  401,        321
  402,        322
  403,        323
  404,        324
  405,        324
  406,        325
  407,        326
  408,        327
  409,        328
  410,        328
  411,        329
  412,        330
  413,        331
  414,        332
  415,        332
  416,        333
  417,        334
  418,        335
  419,        336
  420,        336
  421,        337
  422,        338
  423,        339
  424,        340
  425,        340
  426,        341
  427,        342
  428,        343
  429,        344
  430,        344
  431,        345
  432,        346
  433,        347
  434,        348
  435,        348
  436,        349
  437,        350
  438,        351
  439,        352
  440,        352
  441,        353
  442,        354
  443,        355
  444,        356
  445,        356
  446,        357
  447,        358
  448,        359
  449,        360
  450,        360
  451,        361
  452,        362
  453,        363
  454,        364
  
